-------------------------------------------------------------
scoreFunc = NRMS, Minimization runtime = 12833.003 sec
Parameter              Initial Value     Final Value          Ratio 
EGF.concInit                   2e-08       4.814e-08          2.4073
EGFR.concInit              0.0001083       4.442e-05          0.4100
act_EGFR.Kf                2.674e+04       1.433e+04          0.5359
act_EGFR.Kb                  0.01314        0.007294          0.5550
EGFR_Internalize.Kf              200           29.48          0.1474
EGFR_Internalize.Kb            0.005          0.0125          2.5003
SHC.concInit                  0.0005       0.0003164          0.6329
EGFR_act_SHC.Km             0.001923       0.0009954          0.5176
EGFR_act_SHC.kcat             0.1905          0.8042          4.2211
SHCp_deph.Kf                    0.05         0.04782          0.9564
Sos.concInit                  0.0001       7.581e-05          0.7581
Grb2.concInit                  0.001       0.0008365          0.8365
SHC_bind_SosGrb2.Kf         1.21e+05       6.295e+04          0.5202
SHC_bind_SosGrb2.Kb            23.57           68.08          2.8887
Grb2_bind_Sos.Kf               532.7             455          0.8542
Grb2_bind_Sos.Kb              0.1508          0.1837          1.2179
Sos_deph.Kf                  0.01538         0.01385          0.9006
MAPK_phosph_Sos.Km           0.01004         0.01056          1.0517
MAPK_phosph_Sos.kcat             0.5          0.6272          1.2545
MAPK_phosph_Grb2.Km          0.01004         0.01294          1.2896
MAPK_phosph_Grb2.kcat             0.5          0.5061          1.0122
Grb2_bind_Sos_p.Kf                25           31.73          1.2691
Grb2_bind_Sos_p.Kb            0.0168         0.01553          0.9244
Ras.concInit                  0.0002       0.0004581          2.2908
Sos_Ras_GEF.Km             0.0007019       0.0006743          0.9606
Sos_Ras_GEF.kcat                2.26           1.367          0.6049
Ras_intrinsic_GTPase.Kf         0.04414         0.03392          0.7684
basal_GEF.Kf                0.002682        0.006531          2.4349
craf1.concInit                0.0002       0.0001621          0.8104
Ras_act_raf.Kf                  6000            7312          1.2187
Ras_act_raf.Kb                     1           1.149          1.1488
MAPKK.concInit               0.00018       0.0001275          0.7083
PP2A.concInit               0.000224       0.0004413          1.9701
Rafp_RasGTP1.Km            0.0001751         0.00074          4.2266
Rafp_RasGTP1.kcat              0.105          0.1145          1.0909
Rafp_RasGTP2.Km            0.0001751       0.0008648          4.9395
Rafp_RasGTP2.kcat              0.105          0.1083          1.0318
PP2A_deph_MAPKK1.Km          0.01723        0.006416          0.3724
PP2A_deph_MAPKK1.kcat               6           9.763          1.6271
PP2A_deph_MAPKK2.Km          0.04165         0.04567          1.0964
PP2A_deph_MAPKK2.kcat           0.411           0.488          1.1874
MAPK.concInit                0.00036       0.0003529          0.9802
MKP2.concInit                2.4e-06       2.885e-06          1.2022
MAPKKthr.Km                  0.00055       0.0006116          1.1121
MAPKKthr.kcat                0.09518          0.1002          1.0526
MAPKKtyr.Km                4.862e-05       4.435e-05          0.9122
MAPKKtyr.kcat                0.09835         0.09953          1.0120
MKP1_tyr_deph.Km           8.196e-05       8.672e-05          1.0581
MKP1_tyr_deph.kcat            0.3581          0.4169          1.1643
MKP1_thr_deph.Km           2.536e-05       2.424e-05          0.9558
MKP1_thr_deph.kcat            0.3502          0.3764          1.0749

File                                       initScore  finalScore      weight
Abe2000_Fig1A.json                           0.19322     0.08031     200.000
Abe2000_Fig1B.json                           0.27264     0.08727      50.000
CapuaniF2015_Fig1C.json                      0.44003     0.18986      41.000
Choi2006_Fig7A.json                          0.08424     0.11356     100.000
Force1994_Fig.json                           0.55240     0.07167     100.000
Gu2004_Fig3B.json                            0.24724     0.25787      70.000
Haystead1992_Fig4.json                       0.49149     0.50508      70.000
Kholodenko1999_Fig2B_slow.json               0.28399     0.28120     400.000
Kholodenko1999_Fig3B.json                    0.66665     0.17943     100.000
Koh2006_Table1.json                          0.87789     0.83618     100.000
Martin2006_Fig1B.json                        0.06666     0.06167      52.000
Mukhin2003_Fig9B.json                        0.37762     0.00005      79.000
Mukhin2003_Fig9B_inset.json                  0.31096     0.20696     200.000
Orita1993_Table1.json                        0.70120     0.69681     100.000
Pinilla-Macua2016_Fig3A_internal.json        0.09201     0.04263      70.000
Pinilla-Macua2016_Fig3A_surface.json         0.05777     0.15179      70.000
Queipo2018_Fig2_pkScale.json                 0.26937     0.24314     100.000
Saito2004_Fig2C.json                         0.20648     0.15587      52.000
Santoro1994_Fig6B.json                       0.09846     0.14903     100.000
Seger1992_Table2.json                        0.12119     0.09276     100.000
Shah2003_Fig1B_pkScale.json                  0.64334     0.58987     200.000
SynthHennigA2016_Fig1A.json                  0.44091     0.36632     100.000
Tang2015_Fig4C.json                          0.53590     0.61512      50.000
Tang2015_Fig4D.json                          0.01728     0.29211      50.000
Teng1995_Fig9A.json                          0.94021     0.45305      50.000
Tucker1993_Fig7_pkScale.json                 0.31084     0.27491     100.000
Ung_2008.json                                0.94167     0.92161     100.000
Yoder-Hill1995_Fig1.json                     0.47601     0.47601     100.000
ZhouY2010_Fig3C_pkScale.json                 0.51273     0.39417     200.000
ZhouY2010_Fig3D.json                         0.42946     0.50180     100.000

Init score = 0.4576, final = 0.3909
