-------------------------------------------------------------
scoreFunc = NRMS, Minimization runtime = 224.705 sec
Parameter              Initial Value     Final Value          Ratio 
EGF.concInit                   2e-08       4.755e-08          2.3777
EGFR.concInit              0.0001083       0.0001074          0.9918
act_EGFR.Kf                2.674e+04       1.277e+04          0.4773
act_EGFR.Kb                  0.01314          0.0065          0.4946
EGFR_Internalize.Kf              200           49.74          0.2487
EGFR_Internalize.Kb            0.005         0.00105          0.2101
SHC.concInit                  0.0005       0.0002835          0.5670
EGFR_act_SHC.Km             0.001923        0.001078          0.5602
EGFR_act_SHC.kcat             0.1905           0.374          1.9629
SHCp_deph.Kf                    0.05         0.05977          1.1954
Sos.concInit                  0.0001        4.21e-05          0.4210
Grb2.concInit                  0.001       0.0006471          0.6471
SHC_bind_SosGrb2.Kf         1.21e+05       6.047e+04          0.4997
SHC_bind_SosGrb2.Kb            23.57           19.94          0.8460
Grb2_bind_Sos.Kf               532.7           176.1          0.3306
Grb2_bind_Sos.Kb              0.1508          0.1843          1.2218
Sos_deph.Kf                  0.01538         0.01319          0.8580
MAPK_phosph_Sos.Km           0.01004        0.008206          0.8176
MAPK_phosph_Sos.kcat             0.5          0.3381          0.6762
MAPK_phosph_Grb2.Km          0.01004         0.00579          0.5769
MAPK_phosph_Grb2.kcat             0.5          0.3351          0.6701
Grb2_bind_Sos_p.Kf                25           15.18          0.6074
Grb2_bind_Sos_p.Kb            0.0168        0.008821          0.5251
Ras.concInit                  0.0002       0.0002669          1.3345
Sos_Ras_GEF.Km             0.0007019       0.0006878          0.9798
Sos_Ras_GEF.kcat                2.26          0.8702          0.3850
Ras_intrinsic_GTPase.Kf         0.04414         0.03549          0.8040
basal_GEF.Kf                0.002682        0.001681          0.6266
craf1.concInit                0.0002       0.0001334          0.6670
Ras_act_raf.Kf                  6000            2496          0.4160
Ras_act_raf.Kb                     1           1.036          1.0365
MAPKK.concInit               0.00018       7.689e-05          0.4272
PP2A.concInit               0.000224       8.634e-05          0.3855
Rafp_RasGTP1.Km            0.0001751       4.908e-05          0.2803
Rafp_RasGTP1.kcat              0.105          0.1131          1.0769
Rafp_RasGTP2.Km            0.0001751       0.0003492          1.9943
Rafp_RasGTP2.kcat              0.105         0.08099          0.7713
PP2A_deph_MAPKK1.Km          0.01723        0.006623          0.3844
PP2A_deph_MAPKK1.kcat               6           2.417          0.4028
PP2A_deph_MAPKK2.Km          0.04165         0.03835          0.9207
PP2A_deph_MAPKK2.kcat           0.411          0.5101          1.2412
MAPK.concInit                0.00036       0.0002668          0.7412
MKP2.concInit                2.4e-06        2.42e-06          1.0082
MAPKKthr.Km                  0.00055       0.0005663          1.0297
MAPKKthr.kcat                0.09518         0.08099          0.8509
MAPKKtyr.Km                4.862e-05       2.797e-05          0.5752
MAPKKtyr.kcat                0.09835         0.09736          0.9900
MKP1_tyr_deph.Km           8.196e-05       7.227e-05          0.8818
MKP1_tyr_deph.kcat            0.3581          0.6384          1.7828
MKP1_thr_deph.Km           2.536e-05       1.405e-05          0.5541
MKP1_thr_deph.kcat            0.3502           0.376          1.0738

File                                       initScore  finalScore      weight
Abe2000_Fig1A.json                           0.19322     0.07552     200.000
Abe2000_Fig1B.json                           0.27264     0.24023      50.000
CapuaniF2015_Fig1C.json                      0.44003     0.41859      41.000
Choi2006_Fig7A.json                          0.08424     0.11625     100.000
Force1994_Fig.json                           0.55240     0.55992     100.000
Gu2004_Fig3B.json                            0.24724     0.21030      70.000
Haystead1992_Fig4.json                       0.49149     0.51651      70.000
Kholodenko1999_Fig2B_slow.json               0.28399     0.20182     400.000
Kholodenko1999_Fig3B.json                    0.66665     0.17751     100.000
Koh2006_Table1.json                          0.87789     0.83727     100.000
Martin2006_Fig1B.json                        0.06666     0.18438      52.000
Mukhin2003_Fig9B.json                        0.37762     0.25432      79.000
Mukhin2003_Fig9B_inset.json                  0.31096     0.27348     200.000
Orita1993_Table1.json                        0.70120     0.69090     100.000
Pinilla-Macua2016_Fig3A_internal.json        0.09201     0.08260      70.000
Pinilla-Macua2016_Fig3A_surface.json         0.05777     0.12741      70.000
Queipo2018_Fig2_pkScale.json                 0.26937     0.17241     100.000
Saito2004_Fig2C.json                         0.20648     0.33627      52.000
Santoro1994_Fig6B.json                       0.09846     0.08660     100.000
Seger1992_Table2.json                        0.12119     0.20343     100.000
Shah2003_Fig1B_pkScale.json                  0.64334     0.45997     200.000
SynthHennigA2016_Fig1A.json                  0.44091     0.47127     100.000
Tang2015_Fig4C.json                          0.53590     0.52006      50.000
Tang2015_Fig4D.json                          0.01728     0.26661      50.000
Teng1995_Fig9A.json                          0.94021     0.43009      50.000
Tucker1993_Fig7_pkScale.json                 0.31084     0.21306     100.000
Ung_2008.json                                0.94167     0.92711     100.000
Yoder-Hill1995_Fig1.json                     0.47601     0.47601     100.000
ZhouY2010_Fig3C_pkScale.json                 0.51273     0.29464     200.000
ZhouY2010_Fig3D.json                         0.42946     0.48585     100.000

Init score = 0.4576, final = 0.3893
