-------------------------------------------------------------
scoreFunc = NRMS, Minimization runtime = 11.885 sec
Parameter              Initial Value     Final Value          Ratio 
EGF.concInit                   2e-08       6.688e-08          3.3440
EGFR.concInit              0.0001083       9.955e-05          0.9189
act_EGFR.Kf                2.674e+04       1.997e+04          0.7466
act_EGFR.Kb                  0.01314         0.01657          1.2607
EGFR_Internalize.Kf              200           154.3          0.7716
EGFR_Internalize.Kb            0.005        0.005666          1.1332
SHC.concInit                  0.0005       0.0004032          0.8063
EGFR_act_SHC.Km             0.001923        0.001945          1.0111
EGFR_act_SHC.kcat             0.1905          0.1842          0.9666
SHCp_deph.Kf                    0.05         0.05088          1.0175
Sos.concInit                  0.0001       8.313e-05          0.8313
Grb2.concInit                  0.001       0.0008561          0.8561
SHC_bind_SosGrb2.Kf         1.21e+05       9.714e+04          0.8027
SHC_bind_SosGrb2.Kb            23.57           38.12          1.6176
Grb2_bind_Sos.Kf               532.7           450.5          0.8457
Grb2_bind_Sos.Kb              0.1508          0.1557          1.0325
Sos_deph.Kf                  0.01538         0.01519          0.9876
MAPK_phosph_Sos.Km           0.01004        0.009786          0.9749
MAPK_phosph_Sos.kcat             0.5          0.5136          1.0272
MAPK_phosph_Grb2.Km          0.01004         0.01016          1.0125
MAPK_phosph_Grb2.kcat             0.5          0.4924          0.9849
Grb2_bind_Sos_p.Kf                25           25.26          1.0104
Grb2_bind_Sos_p.Kb            0.0168         0.01663          0.9896
Ras.concInit                  0.0002       0.0001907          0.9537
Sos_Ras_GEF.Km             0.0007019       0.0008116          1.1562
Sos_Ras_GEF.kcat                2.26           1.905          0.8428
Ras_intrinsic_GTPase.Kf         0.04414         0.04503          1.0200
basal_GEF.Kf                0.002682        0.002907          1.0837
craf1.concInit                0.0002       0.0001755          0.8777
Ras_act_raf.Kf                  6000            5514          0.9190
Ras_act_raf.Kb                     1           1.079          1.0793
MAPKK.concInit               0.00018       0.0001493          0.8292
PP2A.concInit               0.000224        0.000218          0.9732
Rafp_RasGTP1.Km            0.0001751       0.0001993          1.1384
Rafp_RasGTP1.kcat              0.105         0.09281          0.8839
Rafp_RasGTP2.Km            0.0001751       0.0002011          1.1484
Rafp_RasGTP2.kcat              0.105         0.09688          0.9227
PP2A_deph_MAPKK1.Km          0.01723         0.01503          0.8724
PP2A_deph_MAPKK1.kcat               6           6.206          1.0343
PP2A_deph_MAPKK2.Km          0.04165         0.04726          1.1347
PP2A_deph_MAPKK2.kcat           0.411          0.3974          0.9670
MAPK.concInit                0.00036       0.0003369          0.9357
MKP2.concInit                2.4e-06       2.529e-06          1.0539
MAPKKthr.Km                  0.00055       0.0006448          1.1724
MAPKKthr.kcat                0.09518         0.08155          0.8568
MAPKKtyr.Km                4.862e-05        4.58e-05          0.9419
MAPKKtyr.kcat                0.09835          0.1029          1.0468
MKP1_tyr_deph.Km           8.196e-05       8.336e-05          1.0171
MKP1_tyr_deph.kcat            0.3581          0.3389          0.9464
MKP1_thr_deph.Km           2.536e-05       2.508e-05          0.9890
MKP1_thr_deph.kcat            0.3502          0.3907          1.1157

File                                       initScore  finalScore      weight
Abe2000_Fig1A.json                           0.19322     0.05733     200.000
Abe2000_Fig1B.json                           0.27264     0.10329      50.000
CapuaniF2015_Fig1C.json                      0.44003     0.34351      41.000
Choi2006_Fig7A.json                          0.08424     0.45766     100.000
Force1994_Fig.json                           0.55240     0.53398     100.000
Gu2004_Fig3B.json                            0.24724     0.21616      70.000
Haystead1992_Fig4.json                       0.49149     0.49502      70.000
Kholodenko1999_Fig2B_slow.json               0.28399     0.27725     400.000
Kholodenko1999_Fig3B.json                    0.66665     0.65961     100.000
Koh2006_Table1.json                          0.87789     0.87102     100.000
Martin2006_Fig1B.json                        0.06666     0.06828      52.000
Mukhin2003_Fig9B.json                        0.37762     0.19567      79.000
Mukhin2003_Fig9B_inset.json                  0.31096     0.25690     200.000
Orita1993_Table1.json                        0.70120     0.70901     100.000
Pinilla-Macua2016_Fig3A_internal.json        0.09201     0.09050      70.000
Pinilla-Macua2016_Fig3A_surface.json         0.05777     0.04958      70.000
Queipo2018_Fig2_pkScale.json                 0.26937     0.24265     100.000
Saito2004_Fig2C.json                         0.20648     0.20563      52.000
Santoro1994_Fig6B.json                       0.09846     0.05873     100.000
Seger1992_Table2.json                        0.12119     0.18845     100.000
Shah2003_Fig1B_pkScale.json                  0.64334     0.60493     200.000
SynthHennigA2016_Fig1A.json                  0.44091     0.47163     100.000
Tang2015_Fig4C.json                          0.53590     0.61970      50.000
Tang2015_Fig4D.json                          0.01728     0.18961      50.000
Teng1995_Fig9A.json                          0.94021     0.78913      50.000
Tucker1993_Fig7_pkScale.json                 0.31084     0.26683     100.000
Ung_2008.json                                0.94167     0.94021     100.000
Yoder-Hill1995_Fig1.json                     0.47601     0.47601     100.000
ZhouY2010_Fig3C_pkScale.json                 0.51273     0.43834     200.000
ZhouY2010_Fig3D.json                         0.42946     0.47938     100.000

Init score = 0.4576, final = 0.4444
