-------------------------------------------------------------
scoreFunc = NRMS, Minimization runtime = 3021.204 sec
Parameter              Initial Value     Final Value          Ratio 
Iso_bind_b2AR.Kd             0.03333         0.03333          1.0000
Iso_bind_b2AR.Kd             0.03333          0.0353          1.0591
Iso_bind_RGs.tau               249.9           232.6          0.9310
Iso_bind_RGs.tau               249.9           247.5          0.9904
LR_bind_GsGDP.Kf                1750            1651          0.9437
LR_bind_GsGDP.Kb                 1.6           1.402          0.8760
R_bind_GsGDP.Kf                115.5           121.2          1.0490
R_bind_GsGDP.Kb                0.217          0.2246          1.0352
CaM.concInit                 0.02022         0.02083          1.0302
ng.concInit                  0.01011        0.009537          0.9432
CaM_bind_Ca.Kd               0.00189        0.001958          1.0360
CaM_bind_Ca.tau              0.06324         0.06747          1.0669
CaMCa_bind_Ca.Kd            0.002042        0.002082          1.0198
CaMCa_bind_Ca.tau             0.1032          0.1037          1.0055
CaMCa2_bind_Ca.Kd            0.01879         0.01539          0.8190
CaMCa2_bind_Ca.tau            0.3898          0.4013          1.0294
CaMCa3_bind_Ca.Kd             0.3911          0.4153          1.0618
CaMCa3_bind_Ca.tau             27.05           27.73          1.0252
CaM_ng_deph.Kf                 0.005           0.005          1.0000
ng_bind_CaM.Kd              0.003333        0.003453          1.0361
ng_bind_CaM.tau               0.7692          0.7705          1.0016
Act_Gs.Kf                      4.739           3.742          0.7895
basalAct_Gs.Kf             0.0004421       0.0003389          0.7666
Inact_Gs.Kf                   0.0553         0.04195          0.7585
Trimerize_Gs.Kf                 2613            2035          0.7789
AC1CaM_form_cAMP.Km             0.02         0.02043          1.0215
AC1CaM_form_cAMP.kcat              18           17.23          0.9575
AC2p_form_cAMP.Km            0.02011         0.02011          1.0000
AC2p_form_cAMP.kcat                7               7          1.0000
AC2Gs_form_cAMP.Km              0.02          0.0156          0.7800
AC2Gs_form_cAMP.kcat              18           17.02          0.9455
AC1Gs_form_cAMP.Km              0.02         0.01939          0.9695
AC1Gs_form_cAMP.kcat              18           17.27          0.9595
AC2pGs_form_cAMP.Km             0.06            0.06          1.0000
AC2pGs_form_cAMP.kcat              54              54          1.0000
CaM_bind_AC1.Kd                2e-05       2.064e-05          1.0320
CaM_bind_AC1.tau             0.01961         0.01999          1.0194
Gs_bind_AC2.Kd                 2e-06        2.13e-06          1.0651
Gs_bind_AC2.tau             0.001996        0.001616          0.8094
Gs_bind_AC1.Kd             7.936e-06       8.043e-06          1.0134
Gs_bind_AC1.tau             0.007874        0.007588          0.9637
Gs_bind_AC2p.Kd              1.2e-06       1.205e-06          1.0044
Gs_bind_AC2p.tau            0.001199          0.0012          1.0013
CaM_bind_PDE1.Kd           6.944e-06       6.944e-06          0.9999
CaM_PDE1_enz.Km              0.03463         0.03463          1.0000
CaM_PDE1_enz.kcat                  7           7.001          1.0001
cAMP_PDE1_enz.Km            0.002399        0.002399          1.0001
cAMP_PDE1_enz.kcat                10              10          1.0000
cAMP_PDE_p_enz.Km           0.002071        0.002071          1.0000
cAMP_PDE_p_enz.kcat               20              20          1.0000
phosph_PDE.Km               0.000408        0.000408          1.0000
phosph_PDE.kcat                  2.7             2.7          1.0000
dephosph_PDE.Kf                  0.1             0.1          1.0000
cAMP_bind_site_B1.Kd       0.0006111       0.0004821          0.7889
cAMP_bind_site_B1.tau         0.01149         0.01121          0.9756
cAMP_bind_site_B2.Kd       0.0006111       0.0005615          0.9188
cAMP_bind_site_B2.tau         0.01149         0.01278          1.1122
cAMP_bind_site_A1.Kd        0.001467        0.001209          0.8242
cAMP_bind_site_A1.tau        0.005405        0.004127          0.7635
cAMP_bind_site_A2.Kd       0.0004333       0.0004612          1.0644
cAMP_bind_site_A2.tau        0.009302        0.009193          0.9883
Release_C1.Kd                    300           269.8          0.8994
Release_C1.tau               0.01282         0.01041          0.8117
Release_C2.Kd                    300             274          0.9134
Release_C2.tau               0.01282        0.009829          0.7666

File                                       initScore  finalScore      weight
Crouch1980_Fig1.json                         0.12144     0.11600     100.000
Crouch1980_Table1.json                       0.62661     0.60617      30.000
Feinstein1991_Fig4_AC1.json                  0.42334     0.42199     100.000
Feinstein1991_Fig5.json                      0.26959     0.27191     100.000
Hasler1992_Fig4C.json                        0.36963     0.33837      67.000
Heubach2004_Table1.json                      0.06170     0.06170      67.000
January1997_Fig1A.json                       0.12565     0.12706     100.000
Klee1978.json                                0.66861     0.66859      30.000
Laliberte2002_Fig1.json                      0.71859     0.71859      30.000
Peersen1997_Fig1.json                        0.05021     0.04838     100.000
Porumb1994_Table3.json                       0.65279     0.67069      30.000
Ransnas1992_Fig1A.json                       0.35314     0.38214      34.000
Ransnas1992_Fig1B.json                       0.15836     0.15683      34.000
Sette1994_Fig4BwithInhibitor.json            0.06612     0.06612      45.000
Sette1994_Fig4BwoInhibitor.json              0.07016     0.07016      45.000
Sette1996_Fig2B.json                         0.22283     0.22282     100.000
Shifman2006_Table2.json                      0.66639     0.68392      30.000
Smigel1986_Fig3_with_bg.json                 0.59841     0.59956      34.000
Smigel1986_Fig7_with_bg.json                 0.17524     0.17549     100.000
Solberg1994_Fig7.json                        0.27798     0.25048      43.000
Stemmer1994_Table3.json                      0.61004     0.62883      30.000
Suzuki1991_Fig2.json                         0.31648     0.27456     100.000
Tang1991_Fig3A.json                          0.10396     0.10397     100.000
Tang1991_Fig3B.json                          0.24310     0.24549     100.000
Tran2007_Fig2B.json                          0.21463     0.22107     100.000
Wolter2011_Fig2A.json                        0.29184     0.27938      37.000
Yuan1994_Fig2.json                           0.30531     0.26740     100.000

Init score = 0.3166, final = 0.3125
