-------------------------------------------------------------
scoreFunc = NRMS, Minimization runtime = 355.386 sec
Parameter              Initial Value     Final Value          Ratio 
Iso_bind_b2AR.Kd            0.009248         0.00747          0.8077
Iso_bind_b2AR.Kd            0.009248        0.009638          1.0421
Iso_bind_RGs.tau               333.9           445.9          1.3356
Iso_bind_RGs.tau               333.9           464.5          1.3914
LR_bind_GsGDP.Kf               436.2           684.6          1.5695
LR_bind_GsGDP.Kb               1.887           1.443          0.7651
R_bind_GsGDP.Kf                71.14            78.2          1.0993
R_bind_GsGDP.Kb               0.1797           0.306          1.7027
CaM.concInit                 0.02531         0.01261          0.4982
ng.concInit                 0.008676        0.009392          1.0826
CaM_bind_Ca.Kd              0.004221        0.004237          1.0038
CaM_bind_Ca.tau              0.04351         0.05488          1.2613
CaMCa_bind_Ca.Kd            0.001205        0.001186          0.9838
CaMCa_bind_Ca.tau            0.02603         0.02205          0.8472
CaMCa2_bind_Ca.Kd            0.02556         0.02486          0.9727
CaMCa2_bind_Ca.tau            0.3246          0.2474          0.7623
CaMCa3_bind_Ca.Kd           0.009757        0.009628          0.9868
CaMCa3_bind_Ca.tau             9.116           8.041          0.8820
CaM_ng_deph.Kf              0.006071        0.002624          0.4322
ng_bind_CaM.Kd              0.004839        0.003135          0.6477
ng_bind_CaM.tau                0.342          0.2625          0.7676
Act_Gs.Kf                      1.293           1.442          1.1151
basalAct_Gs.Kf              0.005082         0.03642          7.1662
Inact_Gs.Kf                  0.02346         0.03187          1.3584
Trimerize_Gs.Kf                868.2            1044          1.2023
AC1CaM_form_cAMP.Km          0.02771         0.01869          0.6743
AC1CaM_form_cAMP.kcat           9.783           23.38          2.3903
AC2p_form_cAMP.Km            0.01106        0.002753          0.2489
AC2p_form_cAMP.kcat            7.842           7.809          0.9958
AC2Gs_form_cAMP.Km           0.04471         0.02017          0.4512
AC2Gs_form_cAMP.kcat           32.39           172.4          5.3244
AC1Gs_form_cAMP.Km           0.01343         0.02143          1.5959
AC1Gs_form_cAMP.kcat           4.928           3.747          0.7603
AC2pGs_form_cAMP.Km           0.0276         0.02714          0.9834
AC2pGs_form_cAMP.kcat           33.18           45.19          1.3621
CaM_bind_AC1.Kd            1.627e-05       1.617e-05          0.9942
CaM_bind_AC1.tau             0.02333        0.008287          0.3551
Gs_bind_AC2.Kd             1.231e-07       3.724e-08          0.3025
Gs_bind_AC2.tau             0.001222       0.0008994          0.7358
Gs_bind_AC1.Kd             1.034e-06       1.198e-06          1.1594
Gs_bind_AC1.tau             0.009376         0.01311          1.3983
Gs_bind_AC2p.Kd            6.513e-07        9.28e-07          1.4247
Gs_bind_AC2p.tau           0.0005245       0.0003092          0.5896
CaM_bind_PDE1.Kd           4.098e-06       3.992e-06          0.9741
CaM_PDE1_enz.Km               0.0187        0.008664          0.4633
CaM_PDE1_enz.kcat              11.92           11.68          0.9795
cAMP_PDE1_enz.Km            0.003212        0.003213          1.0004
cAMP_PDE1_enz.kcat             4.535             3.3          0.7277
cAMP_PDE_p_enz.Km           0.002179        0.002199          1.0090
cAMP_PDE_p_enz.kcat            10.72           11.73          1.0940
phosph_PDE.Km               0.001617         0.00194          1.1999
phosph_PDE.kcat                3.042           1.413          0.4645
dephosph_PDE.Kf              0.04596         0.04584          0.9974
cAMP_bind_site_B1.Kd        0.000217       0.0001679          0.7736
cAMP_bind_site_B1.tau        0.003892        0.002056          0.5282
cAMP_bind_site_B2.Kd       0.0001943       0.0001669          0.8589
cAMP_bind_site_B2.tau        0.007857        0.009464          1.2045
cAMP_bind_site_A1.Kd       0.0005157        0.000763          1.4795
cAMP_bind_site_A1.tau        0.003515        0.003834          1.0906
cAMP_bind_site_A2.Kd       0.0001498       0.0001575          1.0520
cAMP_bind_site_A2.tau        0.006733         0.00608          0.9031
Release_C1.Kd                    143           88.89          0.6215
Release_C1.tau              0.005053        0.009157          1.8124
Release_C2.Kd                  156.5           199.6          1.2752
Release_C2.tau               0.02591          0.0722          2.7865

File                                       initScore  finalScore      weight
Crouch1980_Fig1.json                         0.03763     0.03563     100.000
Crouch1980_Table1.json                       0.45253     0.45106      30.000
Feinstein1991_Fig4_AC1.json                  0.39120     0.39118     100.000
Feinstein1991_Fig5.json                      0.13484     0.11243     100.000
Hasler1992_Fig4C.json                        0.11055     0.10899      67.000
Heubach2004_Table1.json                      0.06169     0.06169      67.000
January1997_Fig1A.json                       0.09815     0.09819     100.000
Klee1978.json                                0.57760     0.57732      30.000
Laliberte2002_Fig1.json                      0.70689     0.70686      30.000
Peersen1997_Fig1.json                        0.02062     0.01962     100.000
Porumb1994_Table3.json                       0.12890     0.13533      30.000
Ransnas1992_Fig1A.json                       0.09196     0.10878      34.000
Ransnas1992_Fig1B.json                       0.15106     0.16333      34.000
Sette1994_Fig4BwithInhibitor.json            0.07282     0.06327      45.000
Sette1994_Fig4BwoInhibitor.json              0.06406     0.07170      45.000
Sette1996_Fig2B.json                         0.22270     0.22271     100.000
Shifman2006_Table2.json                      0.30904     0.31468      30.000
Smigel1986_Fig3_with_bg.json                 0.41368     0.30430      34.000
Smigel1986_Fig7_with_bg.json                 0.17467     0.17463     100.000
Solberg1994_Fig7.json                        0.09831     0.10029      43.000
Stemmer1994_Table3.json                      0.53858     0.53543      30.000
Suzuki1991_Fig2.json                         0.21269     0.21243     100.000
Tang1991_Fig3A.json                          0.10685     0.10685     100.000
Tang1991_Fig3B.json                          0.14272     0.13311     100.000
Tran2007_Fig2B.json                          0.04336     0.04372     100.000
Wolter2011_Fig2A.json                        0.07984     0.07519      37.000
Yuan1994_Fig2.json                           0.22409     0.22348     100.000

Init score = 0.2263, final = 0.2221
