-------------------------------------------------------------
scoreFunc = NRMS, Minimization runtime = 451.021 sec
Parameter              Initial Value     Final Value          Ratio 
Iso_bind_b2AR.Kd             0.02873         0.01961          0.6826
Iso_bind_b2AR.Kd             0.02873         0.01707          0.5939
Iso_bind_RGs.tau                 677           306.1          0.4522
Iso_bind_RGs.tau                 677           723.3          1.0684
LR_bind_GsGDP.Kf               883.2           432.6          0.4898
LR_bind_GsGDP.Kb               3.129           2.458          0.7855
R_bind_GsGDP.Kf                138.4           107.5          0.7766
R_bind_GsGDP.Kb                0.334          0.4188          1.2540
CaM.concInit                 0.02022         0.01905          0.9420
ng.concInit                  0.01461        0.008829          0.6044
CaM_bind_Ca.Kd              0.001066        0.003577          3.3553
CaM_bind_Ca.tau              0.07254         0.03175          0.4377
CaMCa_bind_Ca.Kd            0.002327        0.001226          0.5270
CaMCa_bind_Ca.tau             0.1034         0.09506          0.9191
CaMCa2_bind_Ca.Kd           0.008426         0.02185          2.5931
CaMCa2_bind_Ca.tau            0.5086          0.4072          0.8007
CaMCa3_bind_Ca.Kd             0.5533          0.1211          0.2188
CaMCa3_bind_Ca.tau             18.78              11          0.5857
CaM_ng_deph.Kf              0.003107        0.001889          0.6079
ng_bind_CaM.Kd             0.0005927        0.000792          1.3362
ng_bind_CaM.tau                1.211          0.8077          0.6672
Act_Gs.Kf                      5.094           3.539          0.6947
basalAct_Gs.Kf              0.001601        0.002688          1.6791
Inact_Gs.Kf                  0.04238         0.03463          0.8171
Trimerize_Gs.Kf                 1826            1811          0.9918
AC1CaM_form_cAMP.Km         0.009171        0.008038          0.8765
AC1CaM_form_cAMP.kcat           9.139           9.008          0.9857
AC2p_form_cAMP.Km           0.008192        0.005562          0.6790
AC2p_form_cAMP.kcat            25.79           16.82          0.6524
AC2Gs_form_cAMP.Km           0.01224         0.01248          1.0199
AC2Gs_form_cAMP.kcat           4.903           11.71          2.3884
AC1Gs_form_cAMP.Km           0.03334         0.02298          0.6893
AC1Gs_form_cAMP.kcat           14.67            3.78          0.2576
AC2pGs_form_cAMP.Km          0.02211         0.01417          0.6412
AC2pGs_form_cAMP.kcat           241.1           185.1          0.7678
CaM_bind_AC1.Kd            8.423e-06       6.025e-06          0.7153
CaM_bind_AC1.tau              0.0234         0.01941          0.8295
Gs_bind_AC2.Kd             5.534e-07       1.997e-07          0.3608
Gs_bind_AC2.tau             0.000636       0.0007347          1.1552
Gs_bind_AC1.Kd              1.64e-05       1.398e-05          0.8526
Gs_bind_AC1.tau             0.006729        0.005841          0.8681
Gs_bind_AC2p.Kd            1.135e-06       1.297e-06          1.1422
Gs_bind_AC2p.tau           0.0004388       0.0003664          0.8351
CaM_bind_PDE1.Kd           5.175e-05       1.839e-05          0.3554
CaM_PDE1_enz.Km              0.06155         0.04515          0.7335
CaM_PDE1_enz.kcat              5.199           10.86          2.0881
cAMP_PDE1_enz.Km            0.001862        0.003038          1.6321
cAMP_PDE1_enz.kcat             9.865            5.65          0.5727
cAMP_PDE_p_enz.Km           0.002223        0.002296          1.0327
cAMP_PDE_p_enz.kcat            21.42           13.86          0.6472
phosph_PDE.Km              0.0005213       0.0004218          0.8093
phosph_PDE.kcat                1.275           1.686          1.3221
dephosph_PDE.Kf               0.2112          0.1161          0.5500
cAMP_bind_site_B1.Kd       0.0002004       0.0001271          0.6341
cAMP_bind_site_B1.tau        0.007956        0.007222          0.9077
cAMP_bind_site_B2.Kd       0.0005736        0.000351          0.6119
cAMP_bind_site_B2.tau         0.01185        0.009775          0.8247
cAMP_bind_site_A1.Kd         0.00283        0.001113          0.3934
cAMP_bind_site_A1.tau        0.002896        0.002198          0.7590
cAMP_bind_site_A2.Kd       0.0001775       9.754e-05          0.5494
cAMP_bind_site_A2.tau        0.008518        0.004421          0.5190
Release_C1.Kd                  159.7           89.22          0.5586
Release_C1.tau              0.004831        0.002273          0.4704
Release_C2.Kd                  427.3           179.4          0.4199
Release_C2.tau               0.01908          0.0161          0.8440

File                                       initScore  finalScore      weight
Crouch1980_Fig1.json                         0.10528     0.09740     100.000
Crouch1980_Table1.json                       0.63861     0.51416      30.000
Feinstein1991_Fig4_AC1.json                  0.40644     0.39510     100.000
Feinstein1991_Fig5.json                      0.28632     0.17000     100.000
Hasler1992_Fig4C.json                        0.30069     0.15238      67.000
Heubach2004_Table1.json                      0.06169     0.06169      67.000
January1997_Fig1A.json                       0.09972     0.09828     100.000
Klee1978.json                                0.84854     0.73428      30.000
Laliberte2002_Fig1.json                      0.73730     0.70752      30.000
Peersen1997_Fig1.json                        0.08031     0.05044     100.000
Porumb1994_Table3.json                       0.77299     0.50671      30.000
Ransnas1992_Fig1A.json                       0.12710     0.09821      34.000
Ransnas1992_Fig1B.json                       0.12728     0.14265      34.000
Sette1994_Fig4BwithInhibitor.json            0.02949     0.04917      45.000
Sette1994_Fig4BwoInhibitor.json              0.10332     0.08472      45.000
Sette1996_Fig2B.json                         0.22279     0.22274     100.000
Shifman2006_Table2.json                      0.76900     0.58762      30.000
Smigel1986_Fig3_with_bg.json                 0.52899     0.46658      34.000
Smigel1986_Fig7_with_bg.json                 0.17495     0.17453     100.000
Solberg1994_Fig7.json                        0.23689     0.10075      43.000
Stemmer1994_Table3.json                      0.64458     0.61722      30.000
Suzuki1991_Fig2.json                         0.22138     0.21409     100.000
Tang1991_Fig3A.json                          0.10488     0.10664     100.000
Tang1991_Fig3B.json                          0.26407     0.16696     100.000
Tran2007_Fig2B.json                          0.13870     0.06653     100.000
Wolter2011_Fig2A.json                        0.23155     0.13320      37.000
Yuan1994_Fig2.json                           0.23308     0.22623     100.000

Init score = 0.3139, final = 0.2625
