-------------------------------------------------------------
scoreFunc = NRMS, Minimization runtime = 356.819 sec
Parameter              Initial Value     Final Value          Ratio 
EGF.concInit                   2e-08       6.309e-08          3.1545
EGFR.concInit              0.0001083       0.0001064          0.9822
act_EGFR.Kf                2.674e+04       1.126e+04          0.4209
act_EGFR.Kb                  0.01314         0.02977          2.2654
EGFR_Internalize.Kf              200           99.93          0.4996
EGFR_Internalize.Kb            0.005         0.00785          1.5700
SHC.concInit                  0.0005       0.0006563          1.3125
EGFR_act_SHC.Km             0.001923        0.001486          0.7728
EGFR_act_SHC.kcat             0.1905          0.1636          0.8588
SHCp_deph.Kf                    0.05          0.0379          0.7581
Sos.concInit                  0.0001       0.0002573          2.5734
Grb2.concInit                  0.001        0.002715          2.7155
SHC_bind_SosGrb2.Kf         1.21e+05       6.289e+04          0.5198
SHC_bind_SosGrb2.Kb            23.57           10.77          0.4572
Grb2_bind_Sos.Kf               532.7           303.8          0.5704
Grb2_bind_Sos.Kb              0.1508          0.1356          0.8992
Sos_deph.Kf                  0.01538        0.007771          0.5054
MAPK_phosph_Sos.Km           0.01004        0.009285          0.9250
MAPK_phosph_Sos.kcat             0.5          0.3561          0.7123
MAPK_phosph_Grb2.Km          0.01004        0.004066          0.4051
MAPK_phosph_Grb2.kcat             0.5          0.7168          1.4336
Grb2_bind_Sos_p.Kf                25           46.17          1.8467
Grb2_bind_Sos_p.Kb            0.0168        0.007192          0.4281
Ras.concInit                  0.0002       0.0004922          2.4613
Sos_Ras_GEF.Km             0.0007019        0.001175          1.6735
Sos_Ras_GEF.kcat                2.26          0.9513          0.4209
Ras_intrinsic_GTPase.Kf         0.04414         0.03679          0.8335
basal_GEF.Kf                0.002682       0.0009189          0.3426
craf1.concInit                0.0002       0.0005898          2.9493
Ras_act_raf.Kf                  6000            1043          0.1739
Ras_act_raf.Kb                     1           1.452          1.4516
MAPKK.concInit               0.00018       0.0001839          1.0214
PP2A.concInit               0.000224       0.0002438          1.0884
Rafp_RasGTP1.Km            0.0001751       0.0001028          0.5871
Rafp_RasGTP1.kcat              0.105          0.1185          1.1283
Rafp_RasGTP2.Km            0.0001751       0.0005892          3.3655
Rafp_RasGTP2.kcat              0.105          0.1241          1.1818
PP2A_deph_MAPKK1.Km          0.01723        0.007427          0.4310
PP2A_deph_MAPKK1.kcat               6           7.768          1.2946
PP2A_deph_MAPKK2.Km          0.04165          0.0387          0.9292
PP2A_deph_MAPKK2.kcat           0.411          0.2886          0.7022
MAPK.concInit                0.00036        0.000418          1.1611
MKP2.concInit                2.4e-06        1.94e-06          0.8084
MAPKKthr.Km                  0.00055       0.0005222          0.9495
MAPKKthr.kcat                0.09518         0.06359          0.6681
MAPKKtyr.Km                4.862e-05        1.56e-05          0.3208
MAPKKtyr.kcat                0.09835         0.07552          0.7679
MKP1_tyr_deph.Km           8.196e-05       0.0001031          1.2576
MKP1_tyr_deph.kcat            0.3581          0.3405          0.9510
MKP1_thr_deph.Km           2.536e-05       1.901e-05          0.7496
MKP1_thr_deph.kcat            0.3502          0.4835          1.3808

File                                       initScore  finalScore      weight
synth_B_aSHC_DR_aRas_vs_aMAPK.json           0.54502     0.48470     100.000
synth_B_aSHC_DR_aSos_vs_aMAPK.json           0.73470     0.41257     200.000
synth_B_aSHC_DR_acraf1_vs_aMAPK.json         0.87107     0.56537      50.000
synth_B_aSHC_TS_aRas_vs_aMAPK.json           0.52344     0.54265     100.000
synth_B_aSHC_TS_aSos_vs_aMAPK.json           0.73316     0.56598     200.000
synth_B_aSHC_TS_acraf1_vs_aMAPK.json         0.81909     0.60571      50.000
synth_DR_aEGFR_vs_EGFR.json                  0.36205     0.34168     100.000
synth_DR_aEGFR_vs_egf.json                   0.27817     0.25707     200.000
synth_DR_aMAPK_vs_MAPK.json                  0.41047     0.27933      10.000
synth_DR_aMAPK_vs_acraf1.json                0.33941     0.35830     100.000
synth_DR_aMAPK_vs_egf.json                   0.90559     0.28024     100.000
synth_DR_aRas_vs_Ras.json                    0.29940     0.20841     100.000
synth_DR_aRas_vs_aSos.json                   0.47100     0.32576     200.000
synth_DR_aRas_vs_egf.json                    0.40565     0.25997     200.000
synth_DR_aSHC_vs_SHC.json                    0.17858     0.10256     100.000
synth_DR_aSHC_vs_aEGFR.json                  0.31808     0.17672     100.000
synth_DR_aSHC_vs_egf.json                    0.28848     0.19562     200.000
synth_DR_aSos_vs_Sos.json                    0.49219     0.51186     100.000
synth_DR_aSos_vs_aMAPK.json                  0.09792     0.66806       1.000
synth_DR_aSos_vs_aSHC.json                   0.33504     0.24534     200.000
synth_DR_aSos_vs_egf.json                    0.32397     0.20913     200.000
synth_DR_acraf1_vs_aRas.json                 0.39044     0.18091     200.000
synth_DR_acraf1_vs_craf1.json                0.33333     0.23017     100.000
synth_DR_acraf1_vs_egf.json                  0.27086     0.25264     400.000
synth_DR_intEGFR_vs_egf.json                 0.24085     0.33367      50.000
synth_TS_aEGFR_vs_EGFR.json                  0.52430     0.49694     100.000
synth_TS_aEGFR_vs_egf.json                   0.38395     0.33902     200.000
synth_TS_aMAPK_vs_MAPK.json                  0.39544     0.77112      10.000
synth_TS_aMAPK_vs_acraf1.json                0.38896     0.44359     200.000
synth_TS_aMAPK_vs_egf.json                   0.73233     0.21252     200.000
synth_TS_aRas_vs_Ras.json                    0.46000     0.29835     100.000
synth_TS_aRas_vs_aSos.json                   0.50483     0.35686     200.000
synth_TS_aRas_vs_egf.json                    0.37295     0.21058     200.000
synth_TS_aSHC_vs_SHC.json                    0.28296     0.26321     100.000
synth_TS_aSHC_vs_aEGFR.json                  0.27734     0.17907     100.000
synth_TS_aSHC_vs_egf.json                    0.32216     0.18857     200.000
synth_TS_aSos_vs_Sos.json                    0.36920     0.35093     100.000
synth_TS_aSos_vs_aMAPK.json                  0.31873     0.58134       1.000
synth_TS_aSos_vs_aSHC.json                   0.42545     0.21436     200.000
synth_TS_aSos_vs_egf.json                    0.31557     0.05930     200.000
synth_TS_acraf1_vs_aRas.json                 0.41878     0.17775     200.000
synth_TS_acraf1_vs_craf1.json                0.54526     0.36222     100.000
synth_TS_acraf1_vs_egf.json                  0.27570     0.17593     400.000
